quantum_value,greedy_value,opt_value,number_nodes,number_edges,nb_sg,nb_mis,expl_thres:,graph_solved_list_num_edges,graph_solved_list_num_nodes,solution_quantum,solution_greedy,solution_cplex
2.5174000000000003,3.3765,3.9946,225,17806,1,1,10,"[23, 18]","[14, 12]","['l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_h_0-R_h_163', 'l_a_2-R_d_470', 'l_a_3-R_h_587', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_h_1-R_h_160']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
2.5174000000000003,3.3765,3.9946,225,17806,1,1,15,"[23, 18]","[14, 12]","['l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_h_0-R_h_163', 'l_a_2-R_d_470', 'l_a_3-R_h_587', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_h_1-R_h_160']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,1,2,10,"[23, 18, 16]","[14, 12, 11]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,1,2,15,"[23, 18, 16]","[14, 12, 11]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,1,3,10,"[23, 18, 16, 17]","[14, 12, 11, 12]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,1,3,15,"[23, 18, 16, 17]","[14, 12, 11, 12]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,1,4,10,"[23, 18, 16, 17, 14]","[14, 12, 11, 12, 12]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,1,4,15,"[23, 18, 16, 17, 14]","[14, 12, 11, 12, 12]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,1,5,10,"[23, 18, 16, 14, 17, 13]","[14, 12, 11, 12, 12, 11]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,1,5,15,"[23, 18, 16, 17, 14, 13]","[14, 12, 11, 12, 12, 11]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.0848999999999998,3.3765,3.9946,225,17806,2,1,10,"[23, 19, 18, 14, 16, 17]","[14, 14, 12, 11, 13, 12]","['l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_h_0-R_h_163', 'l_h_0-R_d_470', 'l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_d_0-R_d_395', 'l_a_0-R_d_395', 'l_a_2-R_h_591', 'l_a_3-R_h_160']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.0848999999999998,3.3765,3.9946,225,17806,2,1,15,"[23, 19, 18, 14, 16, 17]","[14, 14, 12, 11, 13, 12]","['l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_h_0-R_h_163', 'l_h_0-R_d_470', 'l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_d_0-R_d_395', 'l_a_0-R_d_395', 'l_a_2-R_h_591', 'l_a_3-R_h_160']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,2,2,10,"[23, 19, 18, 14, 16, 10, 16, 17, 6, 7]","[14, 14, 12, 11, 11, 10, 13, 12, 6, 6]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,2,2,15,"[23, 19, 18, 14, 16, 10, 16, 17, 6, 7]","[14, 14, 12, 11, 11, 10, 13, 12, 6, 6]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,2,3,10,"[23, 19, 18, 14, 16, 10, 17, 15, 16, 17, 6, 7, 6, 7]","[14, 14, 12, 11, 11, 10, 12, 12, 13, 12, 6, 6, 6, 6]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,2,3,15,"[23, 19, 18, 14, 16, 10, 17, 15, 16, 17, 6, 7, 6, 7]","[14, 14, 12, 11, 11, 10, 12, 12, 13, 12, 6, 6, 6, 6]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3341000000000003,3.3765,3.9946,225,17806,2,4,10,"[23, 19, 18, 14, 16, 10, 17, 15, 14, 18, 16, 17, 6, 7, 6, 7, 10, 10]","[14, 14, 12, 11, 11, 10, 12, 12, 12, 12, 13, 12, 6, 6, 6, 6, 8, 8]","['l_a_2-R_h_160', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_d_0-R_d_395', 'l_a_0-R_d_395', 'l_a_2-R_d_469', 'l_a_3-R_h_168', 'l_a_3-R_h_591', 'l_d_1-R_h_163', 'l_p_0-R_h_163', 'l_h_0-R_h_161', 'l_h_1-R_h_170']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3341000000000003,3.3765,3.9946,225,17806,2,4,15,"[23, 19, 18, 14, 16, 10, 17, 15, 14, 18, 16, 17, 6, 7, 6, 7, 10, 10]","[14, 14, 12, 11, 11, 10, 12, 12, 12, 12, 13, 12, 6, 6, 6, 6, 8, 8]","['l_a_2-R_h_160', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_d_0-R_d_395', 'l_a_0-R_d_395', 'l_a_2-R_d_469', 'l_a_3-R_h_168', 'l_a_3-R_h_591', 'l_d_1-R_h_163', 'l_p_0-R_h_163', 'l_h_0-R_h_161', 'l_h_1-R_h_170']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3341000000000003,3.3765,3.9946,225,17806,2,5,10,"[23, 19, 18, 14, 16, 10, 17, 15, 14, 18, 15, 15, 16, 17, 6, 7, 6, 7, 10, 10, 10, 11]","[14, 14, 12, 11, 11, 10, 12, 12, 12, 12, 11, 11, 13, 12, 6, 6, 6, 6, 8, 8, 9, 8]","['l_a_2-R_h_160', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_d_0-R_d_395', 'l_a_0-R_d_395', 'l_a_2-R_d_469', 'l_a_3-R_h_168', 'l_a_3-R_h_591', 'l_d_1-R_h_163', 'l_p_0-R_h_163', 'l_h_0-R_h_161', 'l_h_1-R_h_170']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3341000000000003,3.3765,3.9946,225,17806,2,5,15,"[23, 19, 18, 14, 16, 10, 17, 15, 14, 18, 13, 14, 16, 17, 6, 7, 6, 7, 10, 10, 10, 11]","[14, 14, 12, 11, 11, 10, 12, 12, 12, 12, 9, 9, 13, 12, 6, 6, 6, 6, 8, 8, 9, 8]","['l_a_2-R_h_160', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_d_0-R_d_395', 'l_a_0-R_d_395', 'l_a_2-R_d_469', 'l_a_3-R_h_168', 'l_a_3-R_h_591', 'l_d_1-R_h_163', 'l_p_0-R_h_163', 'l_h_0-R_h_161', 'l_h_1-R_h_170']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.5298,3.3765,3.9946,225,17806,3,1,10,"[23, 19, 25, 18, 14, 12, 16, 17, 13, 11, 11, 10]","[14, 14, 14, 12, 11, 11, 13, 12, 10, 10, 10, 9]","['l_d_1-R_h_589', 'l_h_1-R_h_587', 'l_a_2-R_h_168', 'l_a_0-R_h_163', 'l_a_1-R_h_588', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_a_0-R_d_470', 'l_a_2-R_h_591', 'l_p_0-R_h_589', 'l_h_0-R_h_161', 'l_h_1-R_h_159']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.5113000000000003,3.3765,3.9946,225,17806,3,1,15,"[23, 19, 25, 18, 14, 12, 16, 17, 13, 11, 11, 10]","[14, 14, 14, 12, 11, 11, 13, 12, 10, 10, 10, 9]","['l_d_1-R_h_589', 'l_h_1-R_h_587', 'l_a_2-R_h_168', 'l_a_0-R_h_163', 'l_d_0-R_d_470', 'l_h_1-R_h_159', 'l_p_0-R_h_588', 'l_d_1-R_h_588', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161', 'l_d_0-R_h_163', 'l_a_0-R_d_470', 'l_a_2-R_h_591', 'l_p_0-R_h_589']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
3.3578,3.3765,3.9946,225,17806,3,2,10,"[23, 19, 25, 18, 14, 12, 16, 10, 12, 16, 17, 13, 6, 7, 7, 11, 11, 10, 10, 10, 10]","[14, 14, 14, 12, 11, 11, 11, 10, 10, 13, 12, 10, 6, 6, 6, 10, 10, 9, 8, 8, 8]","['l_h_1-R_h_587', 'l_h_1-R_h_159', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_591', 'l_a_2-R_h_168', 'l_d_0-R_h_163', 'l_d_1-R_d_395', 'l_p_0-R_d_395', 'l_a_0-R_h_163', 'l_a_3-R_d_469', 'l_a_3-R_h_160', 'l_h_0-R_h_161']","['l_a_3-R_d_469', 'l_h_1-R_h_587', 'l_a_3-R_h_160', 'l_a_2-R_d_470', 'l_a_1-R_h_589', 'l_h_0-R_h_161', 'l_a_0-R_d_395', 'l_a_1-R_h_588', 'l_d_0-R_d_395', 'l_h_1-R_h_159']","['l_d_0-R_h_163', 'l_d_0-R_d_470', 'l_d_1-R_h_161', 'l_d_1-R_d_469', 'l_a_0-R_h_163', 'l_a_0-R_d_470', 'l_a_1-R_h_588', 'l_a_1-R_h_589', 'l_a_2-R_h_170', 'l_a_2-R_h_591', 'l_a_3-R_h_168', 'l_p_0-R_h_161', 'l_p_0-R_d_469', 'l_h_0-R_h_160']"
